Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
84.229813	0.178336	0.475558	0.507896	55.435961	0.010020	0.410109	155.696320	155.696320	155.696320	0.836184	0.054767	2.830000	798.097528	282.428829	3.108546
85.443104	0.183189	0.480997	0.514700	55.921630	0.010021	0.410362	155.330789	155.330789	155.330789	0.837552	0.057966	2.830000	798.000720	282.407179	3.155300
86.673872	0.188164	0.486456	0.521579	56.406923	0.010022	0.410620	154.959380	154.959380	154.959380	0.838949	0.061351	2.830000	797.900217	282.384614	3.202797
87.922369	0.193264	0.491932	0.528534	56.891827	0.010023	0.410883	154.581987	154.581987	154.581987	0.840375	0.064931	2.830000	797.795866	282.361089	3.251051
89.188849	0.198491	0.497425	0.535566	57.376328	0.010023	0.411152	154.198501	154.198501	154.198501	0.841831	0.068719	2.830000	797.687503	282.336562	3.300073
90.473572	0.203849	0.502931	0.542673	57.860410	0.010024	0.411426	153.808811	153.808811	153.808811	0.843316	0.072725	2.830000	797.574960	282.310985	3.349877
91.776802	0.209339	0.508449	0.549857	58.344059	0.010025	0.411706	153.412804	153.412804	153.412804	0.844830	0.076964	2.830000	797.458062	282.284309	3.400475
93.098803	0.214964	0.513975	0.557117	58.827258	0.010026	0.411991	153.010365	153.010365	153.010365	0.846373	0.081446	2.830000	797.336623	282.256483	3.451881
94.439848	0.220726	0.519507	0.564454	59.309990	0.010027	0.412281	152.601377	152.601377	152.601377	0.847946	0.086187	2.830000	797.210453	282.227454	3.504108
95.800210	0.226629	0.525043	0.571866	59.792238	0.010028	0.412577	152.185720	152.185720	152.185720	0.849548	0.091202	2.830000	797.079349	282.197165	3.557170
97.180167	0.232674	0.530579	0.579354	60.273984	0.010030	0.412878	151.763272	151.763272	151.763272	0.851180	0.096504	2.830000	796.943105	282.165558	3.611080
98.580001	0.238865	0.536112	0.586918	60.755209	0.010031	0.413184	151.333911	151.333911	151.333911	0.852839	0.102111	2.830000	796.801500	282.132571	3.665851
100.000000	0.245204	0.541640	0.594557	61.235893	0.010032	0.413496	150.897508	150.897508	150.897508	0.854528	0.108040	2.830000	796.654308	282.098139	3.721497
101.440453	0.251693	0.547158	0.602272	61.716015	0.010033	0.413813	150.453937	150.453937	150.453937	0.856244	0.114309	2.830000	796.501291	282.062196	3.778032
102.901655	0.258335	0.552664	0.610061	62.195554	0.010035	0.414135	150.003066	150.003066	150.003066	0.857988	0.120936	2.830000	796.342202	282.024669	3.835470
